ID,TEXT,LABEL
817,"She tried not to cry, and failed. Billy's cold little hand touched her own, trying to reassure her. ""Don't cry, Mama. I guess—I guess everybody else is scared, too."" Everyone else. She was not alone. How could she have thought she was alone? All around her were others, as helpless and uncertain as she. [SNIPPET] It was not fatal—it need not be fatal. He worked swiftly, gently, to stop the bleeding that had been draining her life away. She would have to lie quietly for weeks but she would recover. When he was done he pressed her head back to the floor and said, ""Lie still, Sigyn girl, until we can come to move you. Wait for us and Fenrir will stay here with you."" She obeyed and he left them, the feeling of victory and elation coming to him in full then.",0.0
365,"Honath's guards resumed picking their pine-cones. During the disturbance, Honath realized Charl the Reader had been brought in quietly from the same side of the glade. He now sat opposite Alaskon, looking apathetically down at the vine-web, his shoulders hunched forward. He exuded despair; even to look at him made Honath feel a renewed shudder. From the High Seat, the Spokesman said: ""Honath the Pursemaker, Alaskon the Navigator, Charl the Reader, Seth the Needlesmith Mathild the Forager, you are called to answer to justice."" ""Justice!"" Seth shouted, springing free of his captors with a tremendous bound and bringing up with a jerk on the end of his tether. "" This is no justice! I have nothing to do with—"" [SNIPPET] One slip on those wet steps and—it's a long way down again."" Mathild shuddered and took Honath's hand convulsively. To his astonishment, the next instant she was tugging him toward the basalt pillars. The irregular patch of deepening violet sky grew slowly as they climbed.",0.0
1535,"Afterwards I enquired of the Popenkoffs' neighbours, and the information I gathered fully confirmed my suspicions—that the unfortunate bird had been put to death in a most barbarous manner. The deaths of the three children laid to rest any doubt I may have had with regard to the superphysical playing a part in the death of Marthe. Then when her better-half had been served likewise, I was certain that all five pseudo-murders were wholly and solely acts of retribution, and that they were perpetrated—I am inclined to think involuntarily—by the spirit of the owl itself. Accordingly, I decided to hold a séance here—here in its old haunt, and if possible to put an end to the earth-bound condition and wanderings of the soul of the unhappy bird. Thanks to Father Mickledoff we have done so, and there will be no more so-called murders near Orskaia."" Hauntings by the Phantasms of B One of the most curious cases of hauntings by the phantasms of birds happened towards the end of the eighteenth century in a church not twenty miles from London. The sexton started the rumours, declaring that he had heard strange noises, apparently proceeding from certain vaults containing the tombs of two old and distinguished families. The noises, which generally occurred on Friday nights, most often took the form of mockings, suggesting to some of the listeners—the enaction of a murder, and to others merely the flapping of wings. [SNIPPET] Now, sir, I had such a little dog in India, but this lady did not know of him, and would never have known had he not, as I afterwards found, died out there. This is not only a case of the appearance of an animal after death, but also a case in which it was seen by another animal, as also by the medium. I am also told that the pug-dog who had this vision of my dog was once seen to pounce upon what seemed to the medium to be several cats, near the copper in the scullery of the same house. The medium asked a neighbour if the previous occupants had had any cats. "" Oh, yes,"" replied the neighbour, ""and badly the poor things were served, for they were cruelly thrown into the copper, which was full of boiling water.""  ""Simla"" (M. Conder). Letter 8 Killed by a Street Car, but walks in at the Front D Some five years ago we had a little puppy about six months old.",1.0
371,"So spoke the youth to the knight. Then there was such a battle as none had seen in many months. Neither of these two brought to play his full, strength, yet right cleverly, each struck, counterstruck and brought his skill to play. Much marveled the knight at the youth. Then finally, Sir Launcelot said. ""Your quarrel and mine, youth, is not so sore, we may not leave off."" ""Truly, that is truth,"" replied the lad. "" [SNIPPET] ""Aye, Sir Galahad. Think not that your search in far lands was fruitless. Rather was it the caldron in which your worth was seasoned. Yet will this fact ever remain--that one need not travel far to find Honor, Faith, Service and Piety. For these are ever near."" ""I am like Elam who went everywhere and found that what he sought was near at home.""",0.0
327,"There were no clouds whatever; neither did any form of winged life make its appearance. So Smith took note of sounds. Presumably his agent—whoever or whatever it might be—was located in some sort of aircraft; for an extremely loud and steady buzzing, suggesting a powerful engine, filled the engineer's borrowed ears. Try as he might, however, he could not identify the sound exactly. It was more like an engine than anything else, except that the separate sounds which comprised the buzz occurred infinitely close together. Smith concluded that the machine was some highly developed rotary affair, working at perhaps six or eight thousand revolutions a minute—three or four times as fast as an ordinary engine. Meanwhile his agent continued to stare into the sky. Shortly something arrived in the field of vision; a blurred speck, far to one side. It approached leisurely, with the unknown agent watching steadfastly. [SNIPPET] I was just about to retire. Good luck""—another yawn—""and good—"" Her voice changed. "" Mr. Fort!"" sharply. """,0.0
239,"If marriage be best for mankind, it must be evidently best for individuals; or a permanent and necessary duty must be the cause of evil, and some must be inevitably sacrificed to the convenience of others. In the estimate which you have made of the two states, it appears that the incommodities of a single life are in a great measure necessary and certain, but those of the conjugal state accidental and avoidable. I cannot forbear to flatter myself that prudence and benevolence will make marriage happy. The general folly of mankind is the cause of general complaint. What can be expected but disappointment and repentance from a choice made in the immaturity of youth, in the ardour of desire, without judgment, without foresight, without inquiry after conformity of opinions, similarity of manners, rectitude of judgment, or purity of sentiment? [SNIPPET] I have already enjoyed too much: give me something to desire.” The old man was surprised at this new species of affliction, and knew not what to reply, yet was unwilling to be silent. “ Sir,” said he, “if you had seen the miseries of the world, you would know how to value your present state.” “ Now,” said the Prince, “you have given me something to desire. I shall long to see the miseries of the world, since the sight of them is necessary to happiness.” At this time the sound of music proclaimed the hour of repast, and the conversation was concluded. The old man went away sufficiently discontented to find that his reasonings had produced the only conclusion which they were intended to prevent.",0.0
1167,"Most Old Believers had tried it when young and disliked it.  ""I've already looked up the names I didn't know,"" he said, ""so start the Mureessan list first.""  ""Great White Shark, or Man-eater,"" read Mazechazz. "" He sounds obvious and nasty."" [SNIPPET] He's a little fellow with six legs and a leathery hide. A nuisance on Balera, which is the equivalent of a Terran swamp. He eats every vegetable known, dry or fresh, and, being only two inches long is hard to see. He doesn't bite, just eats things and breeds. There must be millions by now, on each island of Mureess. Then the eggs get carried about. They're tough and adhesive. You can guess what their warehouses looked like.""",0.0
1537,"The Romans, by reason that this poor syllable death sounded so harshly to their ears and seemed so ominous, found out a way to soften and spin it out by a periphrasis, and instead of pronouncing such a one is dead, said, “Such a one has lived,” or “Such a one has ceased to live” —[Plutarch, Life of Cicero, c. 22:]—for, provided there was any mention of life in the case, though past, it carried yet some sound of consolation. And from them it is that we have borrowed our expression, “The late Monsieur such and such a one. ”—[“feu Monsieur un tel.”] Peradventure, as the saying is, the term we have lived is worth our money. I was born betwixt eleven and twelve o’clock in the forenoon the last day of February 1533, according to our computation, beginning the year the 1st of January,—[This was in virtue of an ordinance of Charles IX. in 1563. Previously the year commenced at Easter, so that the 1st January 1563 became the first day of the year 1563.]—and it is now but just fifteen days since I was complete nine-and-thirty years old; I make account to live, at least, as many more. [SNIPPET] The fear of this disease,” says my mind, “formerly affrighted thee, when it was unknown to thee; the cries and despairing groans of those who make it worse by their impatience, begot a horror in thee. ‘ Tis an infirmity that punishes the members by which thou hast most offended. Thou art a conscientious fellow;”  “consider this chastisement: ‘tis very easy in comparison of others, and inflicted with a paternal tenderness: do but observe how late it comes; it only seizes on and incommodes that part of thy life which is, one way and another, sterile and lost; having, as it were by composition, given time for the licence and pleasures of thy youth. The fear and the compassion that the people have of this disease serve thee for matter of glory; a quality whereof if thou bast thy judgment purified, and that thy reason has somewhat cured it, thy friends notwithstanding, discern some tincture in thy complexion. ‘ Tis a pleasure to hear it said of oneself what strength of mind, what patience! Thou art seen to sweat with pain, to turn pale and red, to tremble, to vomit blood, to suffer strange contractions and convulsions, at times to let great tears drop from thine eyes, to urine thick, black, and dreadful water, or to have it suppressed by some sharp and craggy stone, that cruelly pricks and tears the neck of the bladder, whilst all the while thou entertainest the company with an ordinary countenance; droning by fits with thy people; making one in a continuous discourse, now and then making excuse for thy pain, and representing thy suffering less than it is. Dost thou call to mind the men of past times, who so greedily sought diseases to keep their virtue in breath and exercise? Put the case that nature sets thee on and impels thee to this glorious school, into which thou wouldst never have entered of thy own free will.",0.0
1074,"""You say that I am guilty. Impious and rash! thus to usurp the prerogatives of your Maker! to set up your bounded views and halting reason, as the measure of truth!  ""Thou, Omnipotent and Holy! Thou knowest that my actions were conformable to thy will. I know not what is crime; what actions are evil in their ultimate and comprehensive tendency or what are good. Thy knowledge, as thy power, is unlimited. [SNIPPET] That you did not pursue it, your present thoughts incontestibly prove. Yet this conduct might surely have been expected from Pleyel. That he would not hastily impute the blackest of crimes, that he would not couple my name with infamy, and cover me with ruin for inadequate or slight reasons, might reasonably have been expected."" The sobs which convulsed my bosom would not suffer me to proceed.  Pleyel was for a moment affected.",1.0
918,"What do you know about it? You've never been there. It's a dried-up hole, I tell you. It's a slum—it's one great big slum. Just one decent hotel in the whole place, and that's only because some of our boys went out there and put it up for them."" ""That awful hotel—"" Joyce caught herself. Not an argument about this, please! [SNIPPET] ""I don't want you to,"" she pleaded. ""Why do you not want me to?"" he asked puzzledly. "" Somebody must."" But how could she say it? How could she discuss it at all?",0.0
